Site F Longitude Latitude    ve      vn   sig_ve sig_vn rho_en    t1       t2   
        (deg.E)   (deg.N) |---------- mm/yr ----------|                         
BORC s   41.7770  41.2680   26.29   14.22   0.30   0.31  0.010 1998.699 2010.664
BOSN s   23.1728  42.5048   25.36   10.88   0.93   0.98 -0.005 1997.734 2000.693
BOST s   33.7505  41.1006   17.41   13.02   1.24   1.28 -0.020 2004.758 2011.377
BOTA s   42.1668  13.6139   40.58   29.50   1.18   1.10 -0.011 2007.381 2010.255
BOYB s   34.7946  41.4563   22.57   14.09   1.04   1.09 -0.018 2005.740 2011.377
BREN s   36.4044  34.9480   21.96   23.90   0.40   0.80 -0.009 2000.858 2008.449
BREZ s   22.9030  42.7505   25.20    9.73   0.94   0.98 -0.005 1997.734 2000.693
BRKA s   36.1432  34.1940   21.65   22.60   0.70   0.73 -0.041 2003.755 2008.590
BSHR s   36.8180  32.1557   23.60   23.91   0.57   0.57 -0.017 2005.584 2010.395
BUCK s   39.1001  37.8634   17.97   24.82   1.09   1.04 -0.028 2004.758 2008.529
BUR0 s   44.2866  40.3814   28.67   17.47   0.26   0.27 -0.024 1998.699 2009.523
BUR4 s   44.2866  40.3813   28.79   16.52   0.49   0.52 -0.016 2003.516 2009.523
BUTR s   20.0055  39.7498   21.09   14.50   0.59   0.58 -0.006 2003.516 2008.721
BY00 s   42.5428  11.5906   40.48   26.11   0.99   0.91 -0.029 1999.126 2003.216
C000 s   22.1840  38.3240    8.28   -1.34   0.67   0.63  0.004 1995.475 2000.245
CAMK s   27.8358  37.1957    7.47  -11.87   0.82   0.86 -0.001 1994.736 1998.699
CARV s   22.8214  42.3588   25.54   12.18   0.90   0.93 -0.003 1997.734 2000.693
CBL0 s   43.0672  11.4597   30.63   17.09   0.67   0.63  0.036 1995.229 2003.216
CCC0 s   42.4343  11.5424   32.33   16.09   0.88   0.83 -0.002 1999.126 2003.216
CD00 s   22.4303  37.8497    7.74  -11.28   0.40   0.42 -0.078 1995.749 2005.740
CEIL s   26.3853  38.3108    5.26   -9.41   0.77   0.81 -0.008 1994.736 1998.699
CELT s   30.4260  37.5390    8.62    7.26   0.59   0.66  0.011 2004.221 2009.693
CF60 s   42.4944  11.6221   36.72   25.06   0.95   0.85 -0.007 1999.126 2003.216
